Player,Ball lands,Ball hit from,Stroke Type,Ball hit to,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
D,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FT,Z9,In,,,,,,
D,Z9,Z13,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z9,In,,,,,,
D,Z9,Z14,FT,,Net,Unforced,,Yes,,,
D,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,FT,Z8,In,,,,,,
D,Z8,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BL,Z9,In,,,,,,
D,Z9,Z9,FV,Z3,In,,,,,,
N,Z3,Z12,FL,Z8,In,,,,,,
D,Z8,Z8,FV,Z2,In,,,,,,
N,Z2,Z11,BS,Z10,In,,,,,,
D,Z10,Z10,FV,Z9,In,,,,,,
N,Z9,Z14,FL,Z16,In,,,,,,
D,Z16,Z6,FV,Z3,In,,,,,,
N,Z3,,,,No Hit,Forced,,Yes,,,
D,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FT,,Net,Forced,,Yes,Yes,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BT,Z9,In,,,,,,
N,Z9,Z12,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z7,In,,,,,,
D,Z7,Z11,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z9,In,,,,,,
D,Z9,Z13,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z7,In,,,,,,
D,Z7,Z11,FS,Z7,In,,,,,,
N,Z7,Z11,FT,Z10,In,,,,,,
D,Z10,Z13,BT,Z7,Wide,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z7,In,,,,,,
D,Z7,Z11,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z12,BT,Z2,In,,,,,,
N,Z2,Z8,BT,Z7,Wide,Unforced,,Yes,,,
N,,Z13,S,Z6,In,,,,,,
D,Z6,Z14,BL,Z9,In,,,,,,
N,Z9,Z9,FV,Z8,In,,,,,,
D,Z8,,,,No Hit,Forced,,Yes,,,
N,,Z12,S,,Net,,,,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z11,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z8,In,,,,,,
D,Z8,Z12,FT,Z9,In,,,,,,
N,Z9,Z13,FT,Z9,In,,,,,,
D,Z9,Z13,BT,Z5,In,,,,,,
