player,ball lands,ball hit from,stroke type,ball hit to,in/out,forced/unforced,double fault,end of point,end of game,end of set,end of match
N,Z10,Z14,FL,Z18,in,,,,,,
F,Z18,Z18,FO,Z6,in,,,,,,
N,Z6,,,,no hit,forced,,yes,,,
F,,Z12,S,Z1,in,,,,,,
N,Z1,Z11,BT,,net,forced,,yes,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,Z13,FT,Z3,in,,,,,,
N,Z3,Z8,FT,Z7,in,,,,,,
F,Z7,Z12,FT,Z1,in,,,,,,
N,Z1,Z11,BT,Z8,in,,,,,,
F,Z8,Z12,FT,Z10,in,,,,,,
N,Z10,,,,no hit,forced,,yes,yes,yes,
N,,Z12,S,Z1,wide,,,,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,BT,,net,unforced,,yes,,,
N,,Z13,S,Z6,wide,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z8,in,,,,,,
N,Z8,Z12,FT,Z10,in,,,,,,
F,Z10,Z13,BT,Z5,in,,,,,,
N,Z5,,,,no hit,forced,,yes,,,
N,,Z12,S,Z2,let,,,,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,FT,Z13,long,forced,,yes,,,
N,,Z13,S,Z4,let,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z12,in,,,,,,
N,Z12,Z12,BT,Z13,in,,,,,,
F,Z13,Z13,FT,Z10,in,,,,,,
N,Z10,Z14,FT,Z5,in,,,,,,
F,Z5,Z14,BT,Z10,wide,unforced,,yes,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,FT,Z12,in,,,,,,
N,Z12,Z12,FT,Z6,wide,unforced,,yes,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,Z13,FT,Z12,in,,,,,,
N,Z12,Z12,BT,Z9,in,,,,,,
F,Z9,Z13,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z2,in,,,,,,
F,Z2,Z11,FL,Z12,long,unforced,,yes,yes,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,Z12,FT,Z7,in,,,,,,
F,Z7,Z12,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z4,in,,,,,,
F,Z4,Z13,FT,Z2,in,,,,,,
N,Z2,Z11,BT,Z1,in,,,,,,
F,Z1,,,,no hit,forced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z12,FT,Z5,in,,,,,,
F,Z5,Z14,FT,Z7,in,,,,,,
N,Z7,Z12,BS,Z8,in,,,,,,
F,Z8,Z12,FT,Z5,in,,,,,,
N,Z5,Z14,FT,,net,forced,,yes,,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,Z12,FT,Z7,in,,,,,,
F,Z7,Z8,FT,Z10,in,,,,,,
N,Z10,Z14,FT,Z14,in,,,,,,
F,Z14,Z14,BT,Z9,in,,,,,,
N,Z9,Z13,FT,Z7,wide,unforced,,yes,,,
F,,Z13,S,Z6,wide,,,,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z13,BT,Z10,in,,,,,,
F,Z10,Z14,BT,Z5,in,,,,,,
N,Z5,Z14,FT,Z10,in,,,,,,
F,Z10,Z14,BT,Z8,in,,,,,,
N,Z8,Z13,BT,Z10,in,,,,,,
F,Z10,,,,no hit,forced,,yes,,,
F,,Z12,S,Z1,in,,,,,,
N,Z1,Z11,BT,Z16,in,,,,,,
F,Z16,Z16,FV,Z10,in,,,,,,
N,Z10,Z13,FT,Z16,in,,,,,,
F,Z16,Z16,BV,Z5,in,,,,,,
N,Z5,Z5,BT,Z15,in,,,,,,
F,Z15,,,,no hit,forced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,Z4,in,,,,,,
F,Z4,Z13,FT,Z7,in,,,,,,
N,Z7,Z11,BL,Z19,in,,,,,,
F,Z19,Z19,FO,Z5,in,,,,,,
N,Z5,,,,no hit,forced,,yes,,,
F,,Z12,S,Z4,wide,,,,,,
F,,Z12,S,Z2,in,,,,,,
N,Z2,Z12,FT,Z9,in,,,,,,
F,Z9,Z13,FT,Z10,in,,,,,,
N,Z10,Z14,FT,Z5,in,,,,,,
F,Z5,Z14,FT,Z7,in,,,,,,
N,Z7,Z12,BT,Z9,in,,,,,,
F,Z9,Z13,BT,Z2,in,,,,,,
N,Z2,Z12,BS,Z10,in,,,,,,
F,Z10,Z14,BT,Z7,in,,,,,,
N,Z7,Z11,BS,Z7,in,,,,,,
F,Z7,Z12,FT,Z2,in,,,,,,
 N,Z2,Z11,BT,Z10,in,,,,,,
F,Z10,Z12,BS,Z10,in,,,,,,
N,Z10,Z10,FT,Z11,in,,,,,,
F,Z11,Z11,FT,,net,forced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,Z3,in,,,,,,
F,Z3,Z9,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z16,in,,,,,,
F,Z16,Z16,FV,Z3,in,,,,,,
N,Z3,Z8,BS,Z16,in,,,,,,
F,Z16,Z16,BV,Z10,in,,,,,,
N,Z10,,,,no hit,forced,,yes,,,
F,,Z12,S,Z1,in,,,,,,
N,Z1,Z11,BT,Z8,in,,,,,,
F,Z8,Z13,FT,Z5,in,,,,,,
N,Z5,,,,no hit,forced,,yes,,,
F,,Z13,S,Z9,long,,,,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,Z12,in,,,,,,
F,Z12,Z13,FT,Z12,in,,,,,,
N,Z12,Z12,FT,Z13,in,,,,,,
F,Z13,Z13,BT,Z10,in,,,,,,
N,Z10,Z14,FT,Z10,in,,,,,,
F,Z10,Z14,BT,,net,unforced,,yes,,,
F,,Z12,S,Z2,in,,,,,,
N,Z2,Z11,BT,Z7,in,,,,,,
F,Z7,Z12,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z11,long,unforced,,yes,,,
F,,Z13,S,Z6,in,,,,,,
N,Z6,,,,no hit,forced,,yes,yes,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,FT,Z7,in,,,,,,
N,Z7,Z11,BS,,net,unforced,,yes,,,
N,,Z13,S,Z5,let,,,,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,,,,no hit,forced,,yes,,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,Z12,BT,Z13,in,,,,,,
N,Z13,Z13,FT,Z4,in,,,,,,
F,Z4,Z10,FS,Z6,in,,,,,,
N,Z6,,,,no hit,forced,,yes,,,
N,,Z13,S,Z6,wide,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z8,in,,,,,,
N,Z8,Z13,FT,Z7,in,,,,,,
