Player,Ball lands,Ball hit from,Stroke Type,Ball hit to,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
N,Z7,Z12,FT,Z5,In,,,,,,
F,Z5,Z14,BT,Z10,In,,,,,,
N,Z10,Z14,FT,,Net,Unforced,,Yes,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z2,In,,,,,,
F,Z2,Z11,FT,Z7,In,,,,,,
N,Z7,Z12,BT,Z14,Long,Unforced,,Yes,,,
F,,Z13,S,,Net,,,,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FT,Z7,In,,,,,,
F,Z7,,,,No Hit,Forced,,Yes,,,
F,,Z12,S,Z1,Wide,,,,,,
F,,Z12,S,Z8,Long,Unforced,Yes,Yes,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z14,In,,,,,,
N,Z14,Z14,FT,Z8,In,,,,,,
F,Z8,Z13,FT,Z5,In,,,,,,
N,Z5,,,,No Hit,Forced,,Yes,Yes,,
N,,Z12,S,Z2,In,,,,,,
F,Z2,Z12,BT,Z1,Wide,Unforced,,Yes,,,
N,,Z13,S,Z6,In,,,,,,
F,Z6,Z14,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z10,In,,,,,,
N,Z10,Z13,FT,Z5,In,,,,,,
F,Z5,Z13,BT,,Net,Unforced,,Yes,,,
N,,Z12,S,Z4,In,,,,,,
F,Z3,Z12,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z7,In,,,,,,
F,Z7,Z12,BT,Z10,In,,,,,,
N,Z10,Z13,BT,Z7,In,,,,,,
F,Z7,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z11,Long,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BT,,Net,Unforced,,Yes,Yes,,
