Player,Ball lands,Ball hit from,Stroke Type,Ball hit to,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
F,Z10,Z14,BS,Z16,In,,,,,,
N,Z16,Z1,FV,Z2,In,,,,,,
F,Z2,,,,No Hit,Forced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z3,In,,,,,,
N,Z3,Z12,FT,Z8,In,,,,,,
F,Z8,Z12,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z10,In,,,,,,
F,Z10,Z13,BT,,Net,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BS,Z3,In,,,,,,
N,Z3,Z9,FT,Z10,In,,,,,,
F,Z10,Z14,BT,,Net,Unforced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
F,Z2,Z12,FT,Z4,In,,,,,,
N,Z4,Z12,FT,Z5,In,,,,,,
F,Z5,Z13,BT,Z10,Wide,Unforced,,Yes,Yes,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z7,In,,,,,,
F,Z7,Z11,FT,Z9,In,,,,,,
N,Z9,Z12,FT,Z10,In,,,,,,
F,Z10,Z13,BL,Z13,In,,,,,,
N,Z13,Z13,FT,Z9,In,,,,,,
F,Z9,Z13,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z10,In,,,,,,
F,Z9,Z13,BS,Z10,Wide,Unforced,,Yes,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z13,FT,,Net,Unforced,,Yes,,,
F,,Z12,S,Z9,Long,,,,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z5,In,,,,,,
F,Z5,Z13,BT,Z10,Wide,Unforced,,Yes,,,
F,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z10,In,,,,,,
F,Z10,Z14,FT,Z7,In,,,,,,
N,Z7,Z12,FT,Z8,In,,,,,,
F,Z8,Z12,FT,Z1 ,In,,,,,,
N,Z1 ,Z11,BS,Z15,In,,,,,,
F,Z15,Z6,BV,Z9,In,,,,,,
N,Z9,,,,No Hit,Forced,,Yes,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z5,In,,,,,,
