"","Player","Server","Stroke.Type","Opp.Stroke.Type","Ball.hit.to.lag4","Ball.hit.to.lag3","Ball.hit.to.lag2","Ball.lands","Ball.hit.from","Ball.hit.to","In.out","id","rally_num"
"178","DP","1","FT","BS",NA,NA,"Z3","Z3","Z3","Z5","In",291,49
"179","F","0","BS","FT",NA,"Z3","Z3","Z5","Z4","Z1","In",292,49
"180","DP","1","FT","BS","Z3","Z3","Z5","Z1","Z1","Z5","In",293,49
"181","F","1","FT","FS",NA,NA,"Z5","Z4","Z4","Z3","In",298,51
"182","DP","1","FT","BS",NA,NA,"Z3","Z4","Z4","Z5","In",302,52
"183","F","0","BT","FT",NA,"Z3","Z4","Z5","Z5","Z5","In",303,52
"184","DP","1","BT","BT","Z3","Z4","Z5","Z5","Z5","Z4","Long",304,52
"185","DP","1","BT","FT",NA,NA,"Z5","Z5","Z5","Z2","In",307,53
"186","F","0","FT","BT",NA,"Z5","Z5","Z2","Z3","Z5","In",308,53
"187","DP","1","BT","FT","Z5","Z5","Z2","Z5","Z5","Z4","In",309,53
"188","F","0","FT","BT","Z5","Z2","Z5","Z4","Z4","Z3","In",310,53
"189","DP","1","FT","FT","Z2","Z5","Z4","Z3","Z3","Z2","Wide",311,53
"190","DP","1","FT","FT",NA,NA,"Z5","Z3","Z3","Z2","In",314,54
"191","F","0","FT","FT",NA,"Z5","Z3","Z2","Z2","Z2","In",315,54
"192","DP","1","FT","FT","Z5","Z3","Z2","Z2","Z2","Z4","In",316,54
"193","F","0","BS","FT","Z3","Z2","Z2","Z4","Z4","Z5","Wide",317,54
"194","F","1","FT","BT",NA,NA,"Z2","Z3","Z3","Z2","In",320,55
"195","DP","0","FT","FT",NA,"Z2","Z3","Z2","Z2","Z2","In",321,55
"196","F","1","FT","FT","Z2","Z3","Z2","Z2","Z2","Z5","In",322,55
"197","DP","0","BT","FT","Z3","Z2","Z2","Z5","Z5","Z5","In",323,55
"198","F","1","BS","BT","Z2","Z2","Z5","Z5","Z5","Z5","In",324,55
"199","DP","0","BT","BS","Z2","Z5","Z5","Z5","Z5","Z3","In",325,55
"200","F","1","FV","BT","Z5","Z5","Z5","Z3","Z3","Z5","In",326,55
"201","F","1","BT","BT",NA,NA,"Z5","Z5","Z5","Z4","In",330,56
"202","DP","0","BT","BT",NA,"Z5","Z5","Z4","Z5","Z5","In",331,56
"203","F","1","BS","BT","Z5","Z5","Z4","Z5","Z5","Z4","In",332,56
"204","DP","0","FT","BS","Z5","Z4","Z5","Z4","Z4","Z3","In",333,56
"205","F","1","FT","FT","Z4","Z5","Z4","Z3","Z3","Z3","In",334,56
"206","DP","0","FT","FT","Z5","Z4","Z3","Z3","Z2","Z5","In",335,56
"207","F","1","BS","FT","Z4","Z3","Z3","Z5","Z5","Z3","In",336,56
"208","DP","0","FT","BS","Z3","Z3","Z5","Z3","Z3","Z2","Wide",337,56
"209","F","1","BS","FS",NA,NA,"Z1","Z6","Z5","Z2","In",340,57
"210","F","1","BS","BS",NA,NA,"Z3","Z4","Z4","Z5","In",343,58
"211","DP","0","BS","BS",NA,"Z3","Z4","Z5","Z5","Z1","In",344,58
"212","F","1","FV","BS","Z3","Z4","Z5","Z1","Z1","Z2","In",345,58
"213","DP","1","FT","BS",NA,NA,"Z3","Z3","Z3","Z5","In",348,59
"214","F","0","BT","FT",NA,"Z3","Z3","Z5","Z5","Z2","In",349,59
"215","DP","1","FT","BT","Z3","Z3","Z5","Z2","Z2","Z3","In",350,59
"216","F","0","FT","FT","Z3","Z5","Z2","Z3","Z2","Z3","In",351,59
"217","DP","1","FT","FT","Z5","Z2","Z3","Z3","Z2","Z5","In",352,59
"218","F","0","BS","FT","Z2","Z3","Z3","Z5","Z4","Z4","Long",353,59
"219","DP","1","BT","BS",NA,NA,"Z5","Z5","Z5","Z4","In",356,60
"220","F","0","FT","BT",NA,"Z5","Z5","Z4","Z4","Z4","In",357,60
"221","DP","1","BT","FT","Z5","Z5","Z4","Z4","Z4","Z4","In",358,60
"222","F","0","FT","BT","Z5","Z4","Z4","Z4","Z4","Z2","In",359,60
"223","DP","1","FT","FT",NA,NA,"Z2","Z3","Z3","Z2","In",362,61
"224","F","0","FT","FT",NA,"Z2","Z3","Z2","Z2","Z4","Long",363,61
"225","DP","1","FT","BS",NA,NA,"Z2","Z2","Z2","Z5","In",366,62
"226","F","0","BS","FT",NA,"Z2","Z2","Z5","Z5","Z1","In",367,62
"227","DP","1","FT","BS","Z2","Z2","Z5","Z1","Z1","Z2","In",368,62
"228","F","1","FT","BT",NA,NA,"Z3","Z2","Z2","Z3","In",371,63
"229","DP","0","FT","FT",NA,"Z3","Z2","Z3","Z2","Z4","In",372,63
"230","F","1","BS","FT","Z3","Z2","Z3","Z4","Z4","Z5","In",373,63
"231","DP","0","BS","BS","Z2","Z3","Z4","Z5","Z5","Z5","In",374,63
